ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688314.SH,20250429,20250331,胡立功,1307600.0,1.6095,1.6096,0.0,自然人
688314.SH,20250429,20250331,深圳润城投资管理有限公司-润城生生9号私募证券投资基金,750000.0,0.9231,0.9232,,其他金融产品
688314.SH,20250429,20250331,刘雯蕾,734210.0,0.9037,0.9038,41570.0,自然人
688314.SH,20250429,20250331,赵若愚,826000.0,1.0167,1.0168,0.0,自然人
688314.SH,20250429,20250331,朱海龙,7486000.0,9.2147,9.2148,-200000.0,自然人
688314.SH,20250429,20250331,西安合赢企业管理咨询合伙企业(有限合伙),3803885.0,4.6823,4.6823,-4115.0,投资公司
688152.SH,20250430,20250331,孔令鹏,247967.0,0.3149,0.7984,,自然人
688152.SH,20250430,20250331,招商银行股份有限公司-中欧智能制造混合型证券投资基金,197936.0,0.2513,0.6373,,开放式投资基金
688152.SH,20250430,20250331,国投证券股份有限公司-博时上证科创板人工智能交易型开放式指数证券投资基金,205222.0,0.2606,0.6608,,开放式投资基金
688152.SH,20250430,20250331,中国建设银行股份有限公司-信澳新能源产业股票型证券投资基金,352862.0,0.4481,1.1361,37368.0,开放式投资基金
688152.SH,20250430,20250331,王志勇,355041.0,0.4509,1.1431,,自然人
837278.BJ,20250430,20250331,深圳盈富汇智私募证券基金有限公司-盈富增信添利26号私募证券投资基金,5693012.0,2.6986,2.7612,0.0,其他金融产品
837278.BJ,20250430,20250331,上海臣骁企业管理咨询中心(有限合伙),8369200.0,3.9672,4.0592,0.0,投资公司
837278.BJ,20250430,20250331,上海真金高技术服务业创业投资中心(有限合伙),2893534.0,1.3716,1.4034,-1483848.0,风险投资公司
688526.SH,20250429,20250331,陈焕春,70860470.0,15.2019,15.2019,0.0,自然人
688526.SH,20250429,20250331,叶长发,25706141.0,5.5148,5.5148,0.0,自然人
688526.SH,20250429,20250331,武汉华中农大资产经营有限公司,78004310.0,16.7345,16.7345,0.0,资产管理公司
688082.SH,20250430,20250331,"ACMRESEARCH,INC.",357692308.0,81.0558,82.0193,0.0,一般企业
688317.SH,20250430,20250331,富诚海富资管-杭州银行-富诚海富通之江1号员工参与科创板战略配售集合资产管理计划,2268855.0,1.1807,1.1807,-13000.0,基金专户理财
688317.SH,20250430,20250331,宁波康飞顿斯投资管理合伙企业(有限合伙),6002000.0,3.1234,3.1235,0.0,投资公司
688317.SH,20250430,20250331,上海之江药业有限公司,64969560.0,33.8104,33.8105,0.0,一般企业
